Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
infer/81,1.0307859178181671e-4,1.0305672899103649e-4,1.0315541781159168e-4,1.1395653158514959e-7,3.7247212598051216e-8,2.28146449811083e-7
infer/82,1.920351678785723e-4,1.9197481627059924e-4,1.921739720057e-4,2.805576403801306e-7,6.920302551711379e-8,4.872770218119533e-7
infer/83,9.208592883254972e-5,9.206202214482101e-5,9.218152482393284e-5,1.409815876681748e-7,4.0246347276277626e-8,2.873246821838516e-7
infer/84,1.3291259093159113e-4,1.3286864787357677e-4,1.3305891720627762e-4,2.48805777480286e-7,5.994798602021934e-8,5.090284477377321e-7
infer/85,1.319041529233881e-4,1.3184583040336777e-4,1.3222204084856147e-4,3.420950284198129e-7,4.8878145711383035e-8,8.191607050328706e-7
infer/86,7.93055360404483e-5,7.925963420187455e-5,7.949237486017688e-5,2.6125573498135176e-7,6.888063985178157e-8,5.835786232260796e-7
infer/87,1.5689233715623409e-4,1.5685573175048788e-4,1.5701444684686864e-4,2.1452682087372778e-7,4.6072036635091006e-8,4.481695084137463e-7
infer/88,1.2801994591468165e-4,1.2800672045264712e-4,1.2805025036575425e-4,6.491985799346639e-8,3.604002378960543e-8,1.227991370343617e-7
infer/89,9.811968026237146e-5,9.810378736264675e-5,9.814900919719215e-5,6.746854733448687e-8,4.465611315622824e-8,1.1073909303143431e-7
infer/90,1.6562862617719196e-4,1.6524248260152768e-4,1.6646793827615702e-4,1.909338502361534e-6,8.732142441615786e-7,3.1985005211941336e-6
infer/91,8.52105566124509e-5,8.511829260764308e-5,8.537776248086251e-5,4.188724592527584e-7,2.0832865229452926e-7,6.530772698965973e-7
infer/92,1.1424470930766859e-4,1.1414608596615321e-4,1.1448452276734434e-4,4.7331613837658357e-7,2.6626479687880164e-7,8.880406931269126e-7
infer/93,1.4690388283468994e-4,1.462234296455105e-4,1.4826852932058415e-4,3.054597702381946e-6,2.0337395201452677e-6,4.330169231341163e-6
infer/94,1.5151630505334134e-4,1.4820471922898158e-4,1.575513773620129e-4,1.3831768162646095e-5,8.768919008018428e-6,1.8728274565187522e-5
infer/95,2.3712566938329503e-4,2.358935315461139e-4,2.3843676509865855e-4,4.270069813760761e-6,3.1902803447516795e-6,5.659562812943957e-6
infer/96,1.7750438866248963e-4,1.7571772090190307e-4,1.818769666842885e-4,8.867488022605134e-6,3.6100345862170963e-6,1.5669383979098113e-5
infer/97,7.829457578296958e-5,7.792087905948095e-5,7.872909763985704e-5,1.375426781325372e-6,1.1221879976006605e-6,1.8564352088517494e-6
infer/98,1.987194342828958e-4,1.986226896229824e-4,1.9890874421516752e-4,4.570810766157354e-7,2.9272759171361176e-7,7.032141764609907e-7
infer/99,1.429215953793371e-4,1.4286007793259245e-4,1.4300539510346446e-4,2.538560897771074e-7,1.4864109602573002e-7,3.88559692001228e-7
infer/100,1.1424320778638266e-4,1.141699506339393e-4,1.1435696679808884e-4,2.861634793996137e-7,1.8815361159183102e-7,4.670994505079433e-7
